experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,0,1,0.7659574468085106,216,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,0,2,0.2801418439716312,79,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,0,1,0.7857142857142857,110,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,0,2,0.6357142857142857,89,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,0,3,0.3142857142857143,44,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,0,1,0.6538461538461539,51,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,0,2,0.5,39,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,0,3,0.5,39,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,0,4,0.1794871794871795,14,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,500,1,0.8226950354609929,232,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,500,2,0.30141843971631205,85,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,500,1,0.7,98,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,500,2,0.6428571428571429,90,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,500,3,0.2714285714285714,38,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,500,1,0.6538461538461539,51,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,500,2,0.5256410256410257,41,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,500,3,0.5256410256410257,41,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,500,4,0.15384615384615385,12,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1000,1,0.8581560283687943,242,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1000,2,0.37943262411347517,107,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1000,1,0.8071428571428572,113,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1000,2,0.6857142857142857,96,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1000,3,0.38571428571428573,54,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1000,1,0.6923076923076923,54,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1000,2,0.5769230769230769,45,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1000,3,0.6153846153846154,48,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1000,4,0.21794871794871795,17,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1500,1,0.875886524822695,247,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1500,2,0.3829787234042553,108,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1500,1,0.8642857142857143,121,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1500,2,0.7071428571428572,99,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1500,3,0.37857142857142856,53,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1500,1,0.7307692307692307,57,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1500,2,0.5512820512820513,43,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1500,3,0.5897435897435898,46,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,1500,4,0.20512820512820512,16,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2000,1,0.851063829787234,240,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2000,2,0.38652482269503546,109,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2000,1,0.8285714285714286,116,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2000,2,0.6928571428571428,97,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2000,3,0.37142857142857144,52,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2000,1,0.6794871794871795,53,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2000,2,0.6282051282051282,49,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2000,3,0.6025641025641025,47,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2000,4,0.23076923076923078,18,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2500,1,0.900709219858156,254,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2500,2,0.4858156028368794,137,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2500,1,0.8285714285714286,116,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2500,2,0.75,105,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2500,3,0.40714285714285714,57,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2500,1,0.7307692307692307,57,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2500,2,0.6153846153846154,48,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2500,3,0.6538461538461539,51,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,2500,4,0.3076923076923077,24,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3000,1,0.8865248226950354,250,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3000,2,0.5141843971631206,145,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3000,1,0.8428571428571429,118,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3000,2,0.7571428571428571,106,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3000,3,0.44285714285714284,62,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3000,1,0.782051282051282,61,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3000,2,0.782051282051282,61,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3000,3,0.6923076923076923,54,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3000,4,0.3717948717948718,29,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,1,0.8900709219858156,251,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,2,0.475177304964539,134,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,1,0.8142857142857143,114,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,2,0.6928571428571428,97,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,3,0.4357142857142857,61,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,1,0.782051282051282,61,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,2,0.5897435897435898,46,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,3,0.5512820512820513,43,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,4,0.2948717948717949,23,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,1,0.9113475177304965,257,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,2,0.42907801418439717,121,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,1,0.8571428571428571,120,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,2,0.7642857142857142,107,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,3,0.4142857142857143,58,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,1,0.7564102564102564,59,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,2,0.7051282051282052,55,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,3,0.6923076923076923,54,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,4,0.3333333333333333,26,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,1,0.9042553191489362,255,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,2,0.43617021276595747,123,282,2
