experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,1,0.8023255813953488,138,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,2,0.7151162790697675,123,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,1,0.8301886792452831,132,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,2,0.7987421383647799,127,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,3,0.7924528301886793,126,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,1,0.5739644970414202,97,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,2,0.6686390532544378,113,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,3,0.4437869822485207,75,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,4,0.4556213017751479,77,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,1,0.8081395348837209,139,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,2,0.75,129,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,1,0.8238993710691824,131,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,2,0.8238993710691824,131,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,3,0.8427672955974843,134,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,1,0.6390532544378699,108,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,2,0.7218934911242604,122,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,3,0.46745562130177515,79,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,4,0.5029585798816568,85,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,1,0.8197674418604651,141,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,2,0.7616279069767442,131,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,1,0.8301886792452831,132,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,2,0.8238993710691824,131,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,3,0.8050314465408805,128,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,1,0.727810650887574,123,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,2,0.7633136094674556,129,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,3,0.4911242603550296,83,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,4,0.5207100591715976,88,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,1,0.8081395348837209,139,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,2,0.7674418604651163,132,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,1,0.8364779874213837,133,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,2,0.8238993710691824,131,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,3,0.8679245283018868,138,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,1,0.7337278106508875,124,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,2,0.7751479289940828,131,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,3,0.47928994082840237,81,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,4,0.5029585798816568,85,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,1,0.8488372093023255,146,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,2,0.7616279069767442,131,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,1,0.8176100628930818,130,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,2,0.7987421383647799,127,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,3,0.8553459119496856,136,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,1,0.6804733727810651,115,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,2,0.6745562130177515,114,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,3,0.4911242603550296,83,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,4,0.5266272189349113,89,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,1,0.7848837209302325,135,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,2,0.7325581395348837,126,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,1,0.8050314465408805,128,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,2,0.8238993710691824,131,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,3,0.8490566037735849,135,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,1,0.6982248520710059,118,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,2,0.7455621301775148,126,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,3,0.4970414201183432,84,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,4,0.5266272189349113,89,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,1,0.8372093023255814,144,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,2,0.7848837209302325,135,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,1,0.8176100628930818,130,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,2,0.8553459119496856,136,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,3,0.8616352201257862,137,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,1,0.6863905325443787,116,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,2,0.7041420118343196,119,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,3,0.4911242603550296,83,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,4,0.5266272189349113,89,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,1,0.8197674418604651,141,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,2,0.7848837209302325,135,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,1,0.8113207547169812,129,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,2,0.8553459119496856,136,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,3,0.8742138364779874,139,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,1,0.7218934911242604,122,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,2,0.7337278106508875,124,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,3,0.5207100591715976,88,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,4,0.5207100591715976,88,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,1,0.8488372093023255,146,172,2
