experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,1,0.7659574468085106,216,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,2,0.2765957446808511,78,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,1,0.7857142857142857,110,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,2,0.6357142857142857,89,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,3,0.30714285714285716,43,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,1,0.6794871794871795,53,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,2,0.5,39,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,3,0.5256410256410257,41,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,0,4,0.19230769230769232,15,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,1,0.8617021276595744,243,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,2,0.4219858156028369,119,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,1,0.7928571428571428,111,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,2,0.7214285714285714,101,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,3,0.37857142857142856,53,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,1,0.7564102564102564,59,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,2,0.6282051282051282,49,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,3,0.6410256410256411,50,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,500,4,0.32051282051282054,25,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,1,0.8687943262411347,245,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,2,0.4716312056737589,133,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,1,0.8071428571428572,113,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,2,0.7571428571428571,106,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,3,0.5,70,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,1,0.7435897435897436,58,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,2,0.5897435897435898,46,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,3,0.7051282051282052,55,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1000,4,0.3076923076923077,24,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,1,0.8439716312056738,238,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,2,0.46808510638297873,132,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,1,0.7857142857142857,110,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,2,0.7428571428571429,104,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,3,0.42142857142857143,59,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,1,0.7435897435897436,58,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,2,0.5256410256410257,41,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,3,0.6282051282051282,49,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,1500,4,0.3333333333333333,26,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,1,0.8617021276595744,243,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,2,0.4716312056737589,133,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,1,0.7714285714285715,108,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,2,0.7,98,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,3,0.44285714285714284,62,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,1,0.717948717948718,56,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,2,0.5769230769230769,45,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,3,0.6153846153846154,48,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2000,4,0.41025641025641024,32,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,1,0.8262411347517731,233,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,2,0.4326241134751773,122,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,1,0.8071428571428572,113,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,2,0.6357142857142857,89,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,3,0.39285714285714285,55,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,1,0.6923076923076923,54,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,2,0.5384615384615384,42,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,3,0.5641025641025641,44,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,2500,4,0.34615384615384615,27,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,1,0.8546099290780141,241,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,2,0.450354609929078,127,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,1,0.8142857142857143,114,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,2,0.7071428571428572,99,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,3,0.42142857142857143,59,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,1,0.8076923076923077,63,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,2,0.6025641025641025,47,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,3,0.6410256410256411,50,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,4,0.358974358974359,28,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,1,0.900709219858156,254,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,2,0.5177304964539007,146,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,1,0.8571428571428571,120,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,2,0.7571428571428571,106,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,3,0.4785714285714286,67,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,1,0.8205128205128205,64,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,2,0.6794871794871795,53,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,3,0.7051282051282052,55,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,4,0.5512820512820513,43,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,1,0.9078014184397163,256,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,2,0.5531914893617021,156,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,1,0.8857142857142857,124,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,2,0.8,112,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,3,0.5071428571428571,71,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,1,0.7692307692307693,60,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,2,0.6153846153846154,48,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,3,0.6923076923076923,54,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,4,0.47435897435897434,37,78,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,1,0.9078014184397163,256,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,2,0.5106382978723404,144,282,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,1,0.8785714285714286,123,140,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,2,0.7857142857142857,110,140,3
