checkpoint,kth_intermediate_answer,proportion_found,experiment,found_count,total_questions,complexity
500,1,0.8900709219858156,Phi4-mini-reasoning_0922__curr=random__training_seed=1,251,282,2
500,2,0.5283687943262412,Phi4-mini-reasoning_0922__curr=random__training_seed=1,149,282,2
500,1,0.9071428571428571,Phi4-mini-reasoning_0922__curr=random__training_seed=1,127,140,3
500,2,0.8285714285714286,Phi4-mini-reasoning_0922__curr=random__training_seed=1,116,140,3
500,3,0.5642857142857143,Phi4-mini-reasoning_0922__curr=random__training_seed=1,79,140,3
500,1,0.7564102564102564,Phi4-mini-reasoning_0922__curr=random__training_seed=1,59,78,4
500,2,0.7692307692307693,Phi4-mini-reasoning_0922__curr=random__training_seed=1,60,78,4
500,3,0.7051282051282052,Phi4-mini-reasoning_0922__curr=random__training_seed=1,55,78,4
500,4,0.47435897435897434,Phi4-mini-reasoning_0922__curr=random__training_seed=1,37,78,4
1000,1,0.9184397163120568,Phi4-mini-reasoning_0922__curr=random__training_seed=1,259,282,2
1000,2,0.624113475177305,Phi4-mini-reasoning_0922__curr=random__training_seed=1,176,282,2
1000,1,0.8714285714285714,Phi4-mini-reasoning_0922__curr=random__training_seed=1,122,140,3
1000,2,0.8428571428571429,Phi4-mini-reasoning_0922__curr=random__training_seed=1,118,140,3
1000,3,0.6214285714285714,Phi4-mini-reasoning_0922__curr=random__training_seed=1,87,140,3
1000,1,0.7948717948717948,Phi4-mini-reasoning_0922__curr=random__training_seed=1,62,78,4
1000,2,0.8076923076923077,Phi4-mini-reasoning_0922__curr=random__training_seed=1,63,78,4
1000,3,0.8205128205128205,Phi4-mini-reasoning_0922__curr=random__training_seed=1,64,78,4
1000,4,0.5512820512820513,Phi4-mini-reasoning_0922__curr=random__training_seed=1,43,78,4
1500,1,0.9148936170212766,Phi4-mini-reasoning_0922__curr=random__training_seed=1,258,282,2
1500,2,0.6205673758865248,Phi4-mini-reasoning_0922__curr=random__training_seed=1,175,282,2
1500,1,0.9,Phi4-mini-reasoning_0922__curr=random__training_seed=1,126,140,3
1500,2,0.8642857142857143,Phi4-mini-reasoning_0922__curr=random__training_seed=1,121,140,3
1500,3,0.6357142857142857,Phi4-mini-reasoning_0922__curr=random__training_seed=1,89,140,3
1500,1,0.782051282051282,Phi4-mini-reasoning_0922__curr=random__training_seed=1,61,78,4
1500,2,0.8717948717948718,Phi4-mini-reasoning_0922__curr=random__training_seed=1,68,78,4
1500,3,0.8461538461538461,Phi4-mini-reasoning_0922__curr=random__training_seed=1,66,78,4
1500,4,0.5897435897435898,Phi4-mini-reasoning_0922__curr=random__training_seed=1,46,78,4
2000,1,0.9219858156028369,Phi4-mini-reasoning_0922__curr=random__training_seed=1,260,282,2
