experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Phi4-mini-reasoning_0922__curr=random__training_seed=1,0,1,0.9184397163120568,259,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,0,2,0.5390070921985816,152,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,0,1,0.8857142857142857,124,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,0,2,0.8714285714285714,122,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,0,3,0.5714285714285714,80,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,0,1,0.7692307692307693,60,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,0,2,0.782051282051282,61,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,0,3,0.7564102564102564,59,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,0,4,0.44871794871794873,35,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,500,1,0.8900709219858156,251,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,500,2,0.5283687943262412,149,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,500,1,0.9071428571428571,127,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,500,2,0.8285714285714286,116,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,500,3,0.5642857142857143,79,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,500,1,0.7564102564102564,59,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,500,2,0.7692307692307693,60,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,500,3,0.7051282051282052,55,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,500,4,0.47435897435897434,37,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1000,1,0.9184397163120568,259,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1000,2,0.624113475177305,176,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1000,1,0.8714285714285714,122,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1000,2,0.8428571428571429,118,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1000,3,0.6214285714285714,87,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1000,1,0.7948717948717948,62,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1000,2,0.8076923076923077,63,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1000,3,0.8205128205128205,64,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1000,4,0.5512820512820513,43,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1500,1,0.9148936170212766,258,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1500,2,0.6205673758865248,175,282,2
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1500,1,0.9,126,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1500,2,0.8642857142857143,121,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1500,3,0.6357142857142857,89,140,3
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1500,1,0.782051282051282,61,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1500,2,0.8717948717948718,68,78,4
Phi4-mini-reasoning_0922__curr=random__training_seed=1,1500,3,0.8461538461538461,66,78,4
